Title,anger,disgust,fear,joy,neutral,sadness,surprise,URL
Remember Me?,0.6324085406959057,0.4336349666118622,0.0,0.0,0.5197196304798126,0.7691472172737122,0.0,https://www.youtube.com/watch?v=CyuJdoePF0Y&pp=ygUSZW1pbmVtIHJlbWVtYmVyIG1l0gcJCcMKAYcqIYzv
I'm Back,0.44118867069482803,0.0,0.6528796255588531,0.0,0.54951012134552,0.0,0.5649938955903053,https://www.youtube.com/watch?v=UimodeZfA9o&pp=ygUOZW1pbmVtIGltIGJhY2s%3D
Marshall Mathers,0.6650536613804954,0.555281807978948,0.6179128587245941,0.0,0.0,0.0,0.5602981746196747,https://www.youtube.com/watch?v=XGSrs0QIUAc&pp=ygUXZW1pbmVtIG1hcnNoYWxsIG1hdGhlcnM%3D
Ken Kaniff (Skit),0.0,0.5541337728500366,0.0,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=kAXYIaWrU24&pp=ygURZW1pbmVtIGtlbiBrYW5pZmY%3D
Drug Ballad,0.6668812036514282,0.6251950263977051,0.5943994522094727,0.5933039784431458,0.7348383814096451,0.7102324664592743,0.0,https://www.youtube.com/watch?v=s0rLH_v-lwg&pp=ygUSZW1pbmVtIGRydWcgYmFsbGFk
Amityville,0.5267945945262908,0.0,0.0,0.8256429433822632,0.3093559741973877,0.594663679599762,0.551664670308431,https://www.youtube.com/watch?v=uysfUhjRX9s&pp=ygURZW1pbmVtIGFtaXR5dmlsbGU%3D
Bitch Please II,0.721165133374078,0.4107372760772705,0.5615126490592957,0.0,0.37753984332084656,0.599568655093511,0.3700569421052933,https://www.youtube.com/watch?v=tEMA8GL-ArI&pp=ygUVZW1pbmVtIGJpdGNoIHBlbGFzZSAy
Kim,0.6698203682899475,0.27381184697151184,0.9308416843414307,0.0,0.22546857595443726,0.6817161440849304,0.6062826216220856,https://www.youtube.com/watch?v=-SeVN2u5Axc&pp=ygULZW1pbmVtIGtpaW0%3D
Under The Influence,0.7710784306892982,0.6756295164426168,0.9900637269020081,0.0,0.5606075823307037,0.6775611639022827,0.0,https://www.youtube.com/watch?v=j8zRlLHheb0&pp=ygUaZW1pbmVtIHVuZGVyIHRoZSBpbmZsdWVuY2XSBwkJwwoBhyohjO8%3D
Criminal,0.7845301713262286,0.76622074842453,0.0,0.0,0.0,0.0,0.41959547996520996,https://www.youtube.com/watch?v=mR8_ldc9lag&pp=ygUPZW1pbmVtIGNyaW1pbmFs
John Mayer - Waiting On The World To Change,0.0,0.0,0.0,0.0,0.8979158878326416,0.5552399158477783,0.0,https://www.youtube.com/watch?v=oBIxScJ5rlY&pp=ygUpam9obiBtYXllciB3YWl0aW5nIG9uIHRoZSB3b3JsZCB0byBjaGFuZ2U%3D
Belief,0.0,0.0,0.0,0.0,0.5744804739952087,0.7344359159469604,0.4845353364944458,https://www.youtube.com/watch?v=CkwEnP56fO8&pp=ygURam9obiBtYXllciBiZWxpZWY%3D
Gravity,0.571815237402916,0.0,0.0,0.0,0.38321587443351746,0.6023054718971252,0.0,https://www.youtube.com/watch?v=53pweVfVwV8&pp=ygUSam9obiBtYXllciBncmF2aXR5
The Heart of Life,0.5322452783584595,0.0,0.0,0.4146040976047516,0.0,0.0,0.0,https://www.youtube.com/watch?v=mrS92HRidYg&pp=ygUcam9obiBtYXllciB0aGUgaGVhcnQgb2YgbGlmZQ%3D%3D
Vultures,0.40286412835121155,0.0,0.5188927948474884,0.0,0.0,0.0,0.5527899861335754,https://www.youtube.com/watch?v=9WDkazi__Bw&pp=ygUTam9obiBtYXllciB2dWx0dXJlcw%3D%3D
Bold as Love,0.8161274790763855,0.0,0.6748504638671875,0.0,0.6730525493621826,0.0,0.7137589454650879,https://www.youtube.com/watch?v=9qIunneAx6Y&pp=ygUXam9obiBtYXllciBib2xkIGFzIGxvdmU%3D
I'm Gonna Find Another You,0.0,0.0,0.0,0.0,0.5671913921833038,0.866546630859375,0.0,https://www.youtube.com/watch?v=uGScLpU2I8k&pp=ygUlam9obiBtYXllciBpJ20gZ29ubmEgZmluZCBhbm90aGVyIHlvddIHCQnDCgGHKiGM7w%3D%3D
Pharrell Williams - Happy (Official Video),0.4445818066596985,0.0,0.0,0.9728970612798419,0.0,0.4107861816883087,0.0,https://www.youtube.com/watch?v=ZbZSe6N_BXs&pp=ygUFaGFwcHk%3D
"Queen - Killer Queen (Top Of The Pops, 1974)",0.0,0.0,0.9204629262288412,0.0,0.5423416197299957,0.0,0.41459915041923523,https://www.youtube.com/watch?v=2ZBtPf7FOoM&pp=ygUMa2lsbGVyIHF1ZWVu
